model_version,experiment,condition,seed,cond_recover_at,config_id,PERSONALITY_WEIGHT,TRAIT_DRIFT,TRAIT_SATURATION,LANDMARK_BONUS,HARDSHIP_MAX_BOOST,FLOOR_DECAY_PER_DAY,LANDMARK_PERMANENT,GOAL_BONUS,GOAL_OFF_TASK,GOAL_SWITCH_MARGIN,GOAL_MIN_DAYS,GOAL_REFRACTORY,GOAL_STALL_DAYS,GOAL_SLACK_FOOD,GOAL_SLACK_COND,n_move,n_stay,dead_move,dead_stay,ratio_move,logratio_move,ratio_stay,goal_ratio_move,keep
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,196,15.408274,1.83289,0.691072,38.085697,34.146772,0.272025,0.26353,42.750602,7.564478,0.150021,1,4,7,2.079204,70.76273,292,260,0.0267,0.1333,0.97415,-0.00378,1.20534,1.12381,0.80819
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,198,27.709066,1.664184,0.066576,16.10589,18.673354,0.170088,0.190379,25.936232,10.958826,0.462172,2,4,5,5.624616,63.384412,285,222,0.05,0.26,1.41224,0.346,1.46116,0.85762,0.96652
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,199,27.467866,1.901458,0.214233,23.56972,13.281844,0.635617,0.654841,51.522451,11.667563,0.152382,1,6,2,7.372213,90.195736,293,238,0.0233,0.2067,1.28288,0.23472,1.37008,1.00219,0.93636
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,200,40.45993,1.37661,0.693871,15.547339,41.656397,0.248917,0.604012,51.882829,27.155897,0.419701,2,10,4,7.96391,81.542989,286,227,0.0467,0.2433,1.15666,0.13734,1.33512,1.11545,0.86634
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,201,29.483675,1.165311,0.064576,19.190147,41.40994,0.542456,0.294249,21.856393,16.711348,0.451356,1,9,3,7.616609,88.005999,278,206,0.0733,0.3133,1.27972,0.24265,1.41093,1.09701,0.907
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,202,15.585262,0.859337,0.063795,21.397842,21.728947,0.189689,0.578393,63.853875,23.895113,0.263328,1,7,6,5.890301,90.100993,298,278,0.0067,0.0733,0.99833,-0.00501,1.51323,1.10118,0.65973
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,203,15.165055,1.703548,0.9262,22.053374,12.871351,0.40855,0.694686,60.6941,15.616036,0.199129,4,4,5,3.926517,84.292088,294,273,0.02,0.09,1.05154,0.03451,1.36942,1.04629,0.76787
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,205,28.740594,0.887021,0.38282,46.434375,13.143546,0.209953,0.685114,28.590453,8.39546,0.17884,4,5,6,4.847692,66.384078,137,92,0.5433,0.6933,1.09302,0.06226,1.19143,1.069,0.91739
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,204,17.741328,0.981056,0.373859,15.752102,13.640385,0.241261,0.24101,24.030913,18.006099,0.145178,4,4,3,3.280853,61.563864,289,250,0.0367,0.1667,1.0626,0.04247,1.29408,0.7985,0.82112
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,206,17.041932,1.222062,0.291261,21.420973,11.838326,0.492718,0.609372,24.250503,10.23854,0.225916,2,4,8,4.312872,63.346637,286,243,0.0467,0.19,1.09212,0.0646,1.24077,0.83171,0.8802
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,207,38.547628,1.288104,0.645695,14.478002,19.934012,0.313296,0.383283,20.100833,15.015159,0.165811,1,8,5,2.584483,99.143152,280,208,0.0667,0.3067,1.16291,0.18783,1.12981,1.04297,1.0293
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,208,23.747514,1.188287,0.004409,12.892329,21.502997,0.579218,0.104487,56.556329,17.26802,0.388174,4,8,3,3.105019,66.81396,294,274,0.02,0.0867,1.01747,0.00116,1.34346,1.06872,0.75736
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,209,41.216312,1.04524,0.376391,19.676326,19.515049,0.537188,0.147782,29.266411,22.220291,0.472291,4,7,6,3.047592,78.826159,166,126,0.4467,0.58,1.26372,0.22419,1.22408,1.15388,1.03239
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,212,35.261692,1.906298,0.686657,27.839008,39.653251,0.184366,0.396783,37.247631,11.725898,0.342909,3,8,6,6.838902,97.070835,85,,0.7167,,1.44779,0.36088,,1.11144,
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,211,33.310136,2.313857,0.26697,23.521652,37.543102,0.299372,0.652781,63.156642,8.680512,0.210903,2,5,6,4.912046,65.954395,274,187,0.0867,0.3767,1.09516,0.08649,1.06686,0.93221,1.02652
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,210,19.976796,2.26587,0.535645,26.717627,39.343048,0.589177,0.477217,52.611063,21.635986,0.220873,3,5,5,4.75752,80.259225,294,272,0.02,0.0933,1.01933,0.01007,1.28659,1.02598,0.79227
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,213,16.137619,0.922612,0.32431,14.289954,20.947175,0.362737,0.638365,56.281692,8.775831,0.281933,3,7,7,3.376861,96.618146,296,276,0.0133,0.08,1.0005,-0.00658,1.42577,1.13814,0.70172
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,214,26.931662,1.556998,0.7125,15.191224,25.44913,0.239629,0.628689,29.51289,20.71089,0.170844,2,7,3,5.86659,77.480274,287,235,0.0433,0.2167,1.27727,0.23752,1.42632,0.93241,0.8955
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,215,34.550856,0.670494,0.776014,18.003291,30.462208,0.631253,0.664128,16.788908,15.330887,0.141328,2,4,6,7.665518,67.362505,280,218,0.0667,0.2733,0.94982,-0.02402,1.08623,0.9266,0.87442
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,216,25.118738,1.097882,0.138927,29.50839,29.8315,0.554854,0.401287,25.366756,11.301376,0.321957,1,8,3,3.306662,71.536826,284,230,0.0533,0.2333,1.18566,0.16059,1.32803,0.99274,0.89279
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,217,26.118529,1.385467,0.074997,14.665109,21.87287,0.285695,0.724424,35.259093,13.747157,0.226695,4,4,4,4.953671,91.186807,289,246,0.0367,0.18,1.16817,0.11722,1.39219,0.9156,0.83909
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,218,38.225476,1.891289,0.4785,17.457368,37.391494,0.273338,0.520746,19.171286,9.802777,0.161535,1,8,5,3.447391,67.942473,121,73,0.5967,0.7567,1.37019,0.3516,1.19371,1.18967,1.14783
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,219,24.837764,1.860866,0.502115,29.478992,33.412339,0.594284,0.18743,16.45719,21.28863,0.186792,3,4,3,4.814715,64.387482,278,194,0.0733,0.3533,1.0036,-0.00025,1.125,1.01472,0.89209
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,220,19.453766,0.635797,0.819861,38.988208,34.554285,0.386792,0.104008,42.827935,8.950922,0.139084,4,5,5,2.970062,74.524894,293,271,0.0233,0.0967,0.96591,-0.03067,1.22865,1.0719,0.78616
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,222,16.730514,0.900403,0.335001,46.483447,29.301614,0.539492,0.650327,18.032308,14.541953,0.283839,2,6,3,2.205292,88.133816,279,227,0.07,0.2433,1.07744,0.06685,1.19151,1.03947,0.90426
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,221,20.958009,0.783821,0.654429,22.527028,26.406979,0.195395,0.388119,59.343292,9.86772,0.348627,2,10,7,2.443938,61.00792,297,276,0.01,0.08,0.98507,-0.01975,1.3865,1.31696,0.71048
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,223,24.480757,2.138146,0.924064,32.273929,33.516138,0.652563,0.326059,62.94526,26.03635,0.167719,1,10,6,2.574321,80.771033,294,261,0.02,0.13,0.98826,-0.00935,1.2107,1.15197,0.81627
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,224,40.373222,0.744367,0.555935,22.304244,17.173105,0.266551,0.222667,17.459875,7.764061,0.138785,1,11,6,2.361746,88.614333,274,200,0.0867,0.3333,0.96426,-0.02822,1.00751,0.9617,0.95707
