config_id,PERSONALITY_WEIGHT,TRAIT_DRIFT,TRAIT_SATURATION,LANDMARK_BONUS,HARDSHIP_MAX_BOOST,FLOOR_DECAY_PER_DAY,LANDMARK_PERMANENT,GOAL_BONUS,GOAL_OFF_TASK,GOAL_SWITCH_MARGIN,GOAL_MIN_DAYS,GOAL_REFRACTORY,GOAL_STALL_DAYS,GOAL_SLACK_FOOD,GOAL_SLACK_COND,n_move,n_stay,dead_move,dead_stay,ratio_move,logratio_move,ratio_stay,goal_ratio_move,keep
34,17.549705,1.545704,0.793586,19.683148,26.49286,0.55329,0.221367,29.042654,17.762987,0.484707,3,8,5,4.321155,84.773432,289,242,0.0367,0.1933,1.11609,0.08172,1.35774,0.86125,0.82202
36,28.385722,1.676745,0.350648,12.80291,29.275505,0.307105,0.372507,23.776435,9.745402,0.241824,4,7,2,6.238798,61.666604,268,175,0.1067,0.4167,1.38049,0.31223,1.31742,1.11528,1.04787
38,15.135161,2.014592,0.63888,35.38425,19.43039,0.289529,0.655938,40.196565,24.536355,0.204466,1,9,3,7.656859,63.320017,283,215,0.0567,0.2833,1.08644,0.06963,1.28469,0.99102,0.84568
40,32.460452,0.640662,0.127646,29.997898,11.183558,0.274525,0.443854,61.798839,12.47535,0.225688,3,6,5,5.720071,64.176439,286,244,0.0467,0.1867,0.99593,0.00029,1.20469,1.14195,0.82671
41,32.928051,1.583063,0.425475,13.490778,27.609993,0.174922,0.717464,46.492178,18.067508,0.463884,1,4,7,6.22287,71.010371,281,221,0.0633,0.2633,1.23974,0.19421,1.29376,1.12968,0.95825
44,26.904447,0.750299,0.970335,43.459848,13.790121,0.509137,0.370801,17.590544,7.878221,0.218408,1,9,8,7.839067,81.844676,268,174,0.1067,0.42,0.92774,-0.07524,1.06656,1.08743,0.86984
46,34.238511,2.14218,0.677353,15.548298,29.406257,0.422153,0.573339,21.001124,15.178612,0.14831,3,4,7,4.266616,87.73507,200,98,0.3333,0.6733,1.79297,0.61639,1.75346,1.3687,1.02253
47,15.437094,1.161949,0.786626,21.347185,18.060373,0.294013,0.406813,20.290471,8.347385,0.158879,3,5,3,2.775976,62.395294,285,235,0.05,0.2167,1.00133,-0.00326,1.16054,0.81939,0.86282
43,22.293816,1.567621,0.658455,21.037441,21.815975,0.285151,0.798856,21.09968,9.281348,0.134864,2,8,2,5.989049,86.327196,280,204,0.0667,0.32,1.14747,0.12724,1.24438,1.08596,0.92213
49,19.449917,0.830004,0.929744,17.397561,25.825354,0.201517,0.142775,18.373181,9.44023,0.153345,1,5,3,7.430352,96.877027,271,194,0.0967,0.3533,0.9817,0.00047,1.1034,0.93776,0.88971
52,29.827041,0.757936,0.488455,12.944157,23.706526,0.411827,0.316743,39.569943,20.348475,0.183594,1,5,8,4.533689,69.145992,288,241,0.04,0.1967,1.10766,0.07982,1.30401,0.90894,0.84943
51,32.436941,0.65506,0.866412,25.362956,34.383792,0.287901,0.488259,55.045076,8.943697,0.385764,3,12,7,6.932566,83.136239,293,256,0.0233,0.1467,1.02233,0.01057,1.29232,1.03142,0.79108
53,23.095389,0.845413,0.088135,48.706819,14.29549,0.29968,0.332382,26.479326,9.327314,0.141157,1,6,4,3.842379,75.12436,269,205,0.1033,0.3167,1.12699,0.10328,1.29047,1.08201,0.87332
50,17.964518,0.762121,0.308451,16.647191,14.391828,0.557641,0.726685,46.787734,13.96811,0.171489,2,9,6,7.252034,98.017919,294,273,0.02,0.09,0.98501,-0.02262,1.2989,0.91142,0.75835
58,38.678387,1.725282,0.423298,16.443844,12.975534,0.191773,0.536496,21.611482,23.134592,0.292957,4,3,3,4.336628,92.503471,107,,0.6433,,1.36028,0.30794,,1.23775,
55,38.569647,1.091816,0.579936,26.569686,32.987213,0.24663,0.26836,57.19975,12.062252,0.170183,1,8,4,2.029138,71.800606,203,149,0.3233,0.5033,1.09563,0.09133,1.21105,1.20099,0.9047
56,38.049108,0.825784,0.796672,13.475107,40.371207,0.219184,0.71383,28.248144,12.085547,0.144626,1,10,5,4.253654,71.955493,271,195,0.0967,0.35,1.24493,0.19975,1.27218,1.05766,0.97858
59,25.661915,1.457599,0.675855,29.44106,39.656234,0.224835,0.459815,38.063463,11.079358,0.136384,2,12,5,2.109304,70.274279,283,231,0.0567,0.23,1.11191,0.08937,1.22489,1.07139,0.90776
62,36.139751,1.386405,0.179916,17.593858,11.947273,0.184681,0.653125,22.322808,17.885986,0.204256,3,11,5,5.72246,85.043997,125,75,0.5833,0.75,1.21782,0.20206,1.43285,1.19232,0.84993
60,17.36278,0.702894,0.832792,48.357756,16.128101,0.250831,0.125299,55.629669,15.353786,0.405297,2,10,8,4.508903,61.724344,290,259,0.0333,0.1367,0.92695,-0.06055,1.19076,0.97195,0.77845
57,29.544712,1.006502,0.028628,36.600518,30.346678,0.390746,0.247796,20.270512,24.886588,0.235645,3,9,6,3.543966,86.419449,250,169,0.1667,0.4367,1.09118,0.0827,1.19744,1.15579,0.91126
63,23.901863,1.38933,0.4023,36.539465,24.150661,0.56176,0.409977,20.6768,16.158273,0.330065,4,9,4,4.243151,74.273114,270,187,0.1,0.3767,1.12778,0.10778,1.22999,1.21513,0.9169
61,15.726446,0.93484,0.006904,13.384022,24.442185,0.366502,0.6285,30.906098,14.203694,0.359512,3,11,3,4.404677,71.75527,290,262,0.0333,0.1267,1.04571,0.03172,1.32224,0.9612,0.79086
64,26.823914,0.873701,0.04708,39.433694,21.577442,0.424264,0.110096,19.644043,16.40915,0.193151,3,3,4,5.104588,70.810173,267,191,0.11,0.3633,0.97058,-0.03461,1.13918,1.12771,0.852
65,25.100867,0.877913,0.272514,17.212514,22.741762,0.59233,0.580242,33.259205,10.92418,0.470269,4,6,6,2.068285,88.143844,287,237,0.0433,0.21,1.13578,0.10635,1.31886,0.9538,0.86118
70,25.099987,0.616634,0.059425,41.796665,11.876543,0.23982,0.298464,18.308792,27.282815,0.160052,3,10,4,4.775341,85.033152,273,193,0.09,0.3567,0.97615,-0.01728,1.08434,1.14767,0.90022
69,24.214065,2.138496,0.024412,33.55868,25.025037,0.17111,0.612447,49.151021,14.948385,0.498999,2,12,8,3.048488,62.832361,276,211,0.08,0.2967,1.11103,0.09803,1.20757,1.0382,0.92006
71,34.154346,2.279996,0.534748,20.295389,28.056961,0.269257,0.49461,58.404531,11.861257,0.269348,4,9,2,5.031381,71.026466,215,121,0.2833,0.5967,1.20839,0.19242,1.36153,1.1309,0.88752
73,24.431174,0.933126,0.456746,14.519835,26.935575,0.455232,0.105782,21.823019,25.847747,0.436937,3,11,8,4.748083,65.752813,281,221,0.0633,0.2633,1.12356,0.10828,1.22932,0.951,0.91397
72,17.108672,1.487114,0.441036,29.567983,16.28212,0.304597,0.167053,38.655339,22.220583,0.15065,2,3,5,4.18893,61.150288,291,255,0.03,0.15,1.0155,0.00442,1.2599,0.99006,0.80602
77,29.679461,0.751362,0.429406,28.445543,35.537659,0.415196,0.752559,16.794677,13.330313,0.488748,2,10,4,6.082856,86.38492,274,188,0.0867,0.3733,0.93732,-0.05473,1.06543,1.12398,0.87975
79,21.054594,1.559916,0.470192,16.564728,15.559888,0.666108,0.322426,31.374613,26.431775,0.256614,4,4,5,4.203588,67.840838,285,231,0.05,0.23,1.16363,0.12077,1.38751,0.86956,0.83865
76,46.40255,0.675217,0.802441,24.814162,15.374965,0.187338,0.213834,23.718939,12.935259,0.195035,4,8,4,5.706298,94.607852,127,63,0.5767,0.79,1.22683,0.20389,1.29491,1.19654,0.94742
74,18.84079,2.007355,0.257445,26.740035,20.325976,0.203657,0.634952,46.003891,7.167884,0.320897,3,7,5,3.157899,65.680244,293,257,0.0233,0.1433,1.0316,0.01573,1.22184,1.06409,0.8443
80,21.060853,1.990965,0.703721,21.996588,39.714559,0.600809,0.219377,21.005481,23.790548,0.161947,1,12,3,5.995958,72.156061,279,181,0.07,0.3967,1.2291,0.21169,1.41029,1.1675,0.87153
78,27.406617,0.670354,0.799594,17.562513,18.139615,0.269432,0.726252,16.601676,16.942142,0.30504,3,6,4,4.198855,66.84503,276,206,0.08,0.3133,0.98709,0.00113,1.08144,0.97633,0.91275
82,33.892624,0.82155,0.25169,39.204723,19.853327,0.305915,0.498221,25.127191,13.603099,0.379609,4,7,2,2.274166,75.539061,123,63,0.59,0.79,1.16672,0.15115,1.19645,1.17887,0.97515
83,17.925625,1.819099,0.774241,24.387013,11.243599,0.57549,0.754952,57.111725,25.110913,0.216027,2,5,6,2.039581,67.73521,295,266,0.0167,0.1133,1.02229,0.01288,1.32496,1.02599,0.77156
84,32.263949,1.019958,0.513765,22.342058,26.80709,0.376876,0.100655,24.908468,10.48939,0.493053,4,12,7,2.792947,89.273107,274,205,0.0867,0.3167,1.23923,0.19508,1.23258,1.11957,1.0054
86,19.069179,2.02198,0.725054,38.836389,19.288805,0.337285,0.159904,35.752551,15.353357,0.472805,3,12,5,7.324626,94.813764,287,235,0.0433,0.2167,1.01629,0.00465,1.23044,1.0103,0.82596
